20-HCV-1030_Y_Value,20-LV-1031_HSI_InternalSetPointValue,20-LT-1031_HSI_X_Value,20-LV-1031_Z_X_Value,20-LV-1031_Z_Y_Value,20-LV-1034_HSI_InternalSetPointValue,20-LT-1034_HSI_X_Value,20-LV-1034_Z_X_Value,20-LV-1034_Z_Y_Value,20-PV-1037_HSI_InternalSetPointValue,20-PST-1037_HSI_X_Value,20-PV-1037_Z_X_Value,20-PV-1037_Z_Y_Value
50.0,1.8,1.858902925,1.858902925,51.06472395,0.8,0.7993014455,0.7993014455,49.541936050000004,20.0,20.04544,20.04531845,39.19697
50.0,1.8,1.86085671,1.86085671,51.101011549999996,0.8,0.7993067205,0.7993067205,49.53955,20.0,20.04293725,20.042679749999998,39.209242700000004
50.0,1.8,1.862607395,1.862607395,51.12896155,0.8,0.7993138655,0.7993138655,49.5374317,20.0,20.0403223,20.040189750000003,39.22079665
50.0,1.8,1.8647316366666666,1.8647316366666666,51.17096456666667,0.8,0.7993260026666666,0.7993260026666666,49.5355207,20.0,20.03761265,20.037012466666667,39.23284243333333
50.0,1.8,1.86658978,1.86658978,51.20896,0.8,0.7993394,0.7993394,49.5341721,20.0,20.034956,20.0341034,39.2427
50.0,1.8,1.868009685,1.868009685,51.242892049999995,0.8,0.799351782,0.799351782,49.533565550000006,20.0,20.0322385,20.03180125,39.248996250000005
50.0,1.8,1.869763795,1.869763795,51.285841000000005,0.8,0.799369366,0.799369366,49.5330936,20.0,20.02932165,20.028876150000002,39.25620075
50.0,1.8,1.8714920849999999,1.8714920849999999,51.3298683,0.8,0.7993892499999999,0.7993892499999999,49.532988,20.0,20.026352850000002,20.02590275,39.26249125
50.0,1.8,1.8731944299999999,1.8731944299999999,51.375127500000005,0.8,0.7994114335,0.7994114335,49.533248900000004,20.0,20.0233479,20.0228933,39.2678204
50.0,1.8,1.874785005,1.874785005,51.41778945,0.8,0.79943465,0.79943465,49.5337696,20.0,20.0203209,20.020015700000002,39.272145
50.0,1.8,1.8766771549999999,1.8766771549999999,51.4763832,0.8,0.7994653225,0.7994653225,49.53515,20.0,20.01683235,20.01653195,39.27542885
50.0,1.8,1.8785295450000001,1.8785295450000001,51.53586005,0.8,0.7994984,0.7994984,49.536968200000004,20.0,20.0133355,20.01301955,39.27752495
50.0,1.8,1.8801026950000002,1.8801026950000002,51.588245,0.8,0.7995293205,0.7995293205,49.53895295,20.0,20.010281550000002,20.00996875,39.27830245
50.0,1.8,1.881646455,1.881646455,51.6409812,0.8,0.7995620165,0.7995620165,49.541266750000005,20.0,20.0072585,20.0069557,39.27817345
50.0,1.8,1.883082095,1.883082095,51.69128745,0.8,0.7995945,0.7995945,49.54374505,20.0,20.0042677,20.0041132,39.277132249999994
50.0,1.8,1.88456205,1.88456205,51.7466536,0.8,0.7996302765,0.7996302765,49.546794899999995,20.0,20.001318949999998,20.00117015,39.275014999999996
50.0,2.0,1.886080445,1.886080445,51.74840865,0.8,0.799669381,0.799669381,49.55044145,20.0,19.998423000000003,19.998131100000002,39.2718061
50.0,2.0,1.8874522599999999,1.8874522599999999,51.60429385,0.8,0.7997058035,0.7997058035,49.5538871,20.0,19.995699899999998,19.99560455,39.2681482
50.0,2.0,1.88890789,1.88890789,51.473397,0.8,0.7997427,0.7997427,49.557598600000006,20.0,19.993664199999998,19.993664199999998,39.264325
50.0,2.0,1.890714945,1.890714945,51.361019999999996,0.8,0.79978533,0.79978533,49.562218599999994,20.0,19.992281900000002,19.99219415,39.26035905
50.0,2.0,1.892359495,1.892359495,51.2477618,0.8,0.799821645,0.799821645,49.56619645,20.0,19.9914541,19.99142835,39.25681685
50.0,2.0,1.8941750549999998,1.8941750549999998,51.142665,0.8,0.799859,0.799859,49.5704651,20.0,19.99111925,19.991121149999998,39.253479
50.0,2.0,1.89607066,1.89607066,51.0460573,0.8,0.799895048,0.799895048,49.57473,20.0,19.991215,19.991250049999998,39.250564999999995
50.0,2.0,1.89773959,1.89773959,50.96753285,0.8,0.7999244999999999,0.7999244999999999,49.57831385,20.0,19.991687749999997,19.991665849999997,39.248452150000006
50.0,2.0,1.900052825,1.900052825,50.8830063,0.8,0.7999627,0.7999627,49.5831299,20.0,19.992407800000002,19.992487150000002,39.2462807
50.0,2.0,1.90203118,1.90203118,50.80545,0.8,0.7999921000000001,0.7999921000000001,49.58695605,20.0,19.993476899999997,19.993476899999997,39.244909250000006
50.0,2.0,1.9037379049999998,1.9037379049999998,50.76081,0.8,0.8000153999999999,0.8000153999999999,49.5900707,20.0,19.99460605,19.9944792,39.2443837
50.0,2.0,1.906337795,1.906337795,50.681123799999995,0.8,0.8000480999999999,0.8000480999999999,49.594615950000005,20.0,19.9960661,19.9960661,39.2440109
50.0,2.0,1.90878254,1.90878254,50.643705,0.8,0.8000751660000001,0.8000751660000001,49.598495,20.0,19.99748895,19.9977245,39.24464795
50.0,2.0,1.910586,1.910586,50.597209899999996,0.8,0.8000930725,0.8000930725,49.6012058,20.0,19.9989579,19.9989586,39.2454338
50.0,2.0,1.9130927899999999,1.9130927899999999,50.552268999999995,0.8,0.8001157164999999,0.8001157164999999,49.60473825,20.0,20.0005236,20.000678100000002,39.2471218
50.0,2.0,1.915406825,1.915406825,50.516220000000004,0.8,0.8001339435,0.8001339435,49.6077461,20.0,20.0021221,20.00227705,39.24928695
50.0,2.0,1.91786051,1.91786051,50.4970322,0.8,0.800150931,0.800150931,49.61062,20.0,20.0037785,20.003933,39.2520256
50.0,2.0,1.91962564,1.91962564,50.48145305,0.8,0.8001616,0.8001616,49.612579350000004,20.0,20.00492,20.00506785,39.254344950000004
50.0,2.0,1.9219908700000001,1.9219908700000001,50.4672061,0.8,0.8001742285,0.8001742285,49.615026650000004,20.0,20.00637815,20.006519349999998,39.257771399999996
50.0,2.0,1.9241285750000001,1.9241285750000001,50.444057799999996,0.8,0.800184134,0.800184134,49.61711855,20.0,20.00774385,20.00774385,39.261434550000004
50.0,2.0,1.92662877,1.92662877,50.4450054,0.8,0.800194,0.800194,49.61928,20.0,20.0089928,20.0090529,39.2656498
50.0,2.0,1.929013195,1.929013195,50.442047900000006,0.8,0.80020185,0.80020185,49.621246400000004,20.0,20.0101167,20.0101662,39.270107550000006
